"question","respondent_id","response","theme"
"Why are you cancelling?","1779896","Business subscription is taking over","Consolidating / shifting accounts"
"Why are you cancelling?","1779895","Can't afford it at this time.","Reducing expenses / financial constraints"
"Why are you cancelling?","1779894","Can't afford it right now","Reducing expenses / financial constraints"
"Why are you cancelling?","1779893","Can't afford right now.","Reducing expenses / financial constraints"
"Why are you cancelling?","1779892","can't justify the charge increase","Constant price rise / increase"
"Why are you cancelling?","1779891","can�t afford","Reducing expenses / financial constraints"
"Why are you cancelling?","1779890","Can�t afford it","Reducing expenses / financial constraints"
"Why are you cancelling?","1779889","Can�t afford it anymore thanks to inflation caused by president Biden","Reducing expenses / financial constraints"
"Why are you cancelling?","1779888","Can�t afford right now","Reducing expenses / financial constraints"
"Why are you cancelling?","1779887","Can�t pay this month","Reducing expenses / financial constraints"
"Why are you cancelling?","1779886","Cannot afford","Reducing expenses / financial constraints"
"Why are you cancelling?","1779885","Cannot afford it any longer","Reducing expenses / financial constraints"
"Why are you cancelling?","1779884","Cannot get multiple billings stopped","Problems with billing"
"Why are you cancelling?","1779883","cannot pay","Reducing expenses / financial constraints"
"Why are you cancelling?","1779882","Cant charge that for what you got","Too expensive"
"Why are you cancelling?","1779881","Change of price","Reducing expenses / financial constraints"
"Why are you cancelling?","1779880","Change payment date.","Making changes to payment / billing"
"Why are you cancelling?","1779879","Change to new country","Moving / changing locations"
"Why are you cancelling?","1779878","Changing subscription","Consolidating / shifting accounts"
"Why are you cancelling?","1779877","changing bank will resume when thats done","Temporary break from platform"
"Why are you cancelling?","1779876","changing billing date","Making changes to payment / billing"
"Why are you cancelling?","1779875","charging for sharing subscriptions","Object to sharing restrictions"
"Why are you cancelling?","1779874","Charging me for sharing subscriptions","Object to sharing restrictions"
"Why are you cancelling?","1779873","combine households. Only need one subscription.","Consolidating / shifting accounts"
"Why are you cancelling?","1779872","combined with fiance","Consolidating / shifting accounts"
"Why are you cancelling?","1779871","consolidating subscriptions after getting got married","Consolidating / shifting accounts"
"Why are you cancelling?","1779870","Constant price increases","Constant price rise / increase"
"Why are you cancelling?","1779869","constant price increases","Constant price rise / increase"
"Why are you cancelling?","1779868","Constant price increases.","Constant price rise / increase"
"Why are you cancelling?","1779867","constantly raising monthly fees","Constant price rise / increase"
"Why are you cancelling?","1779866","Continously raising of prices and restriction on services","Constant price rise / increase"
"Why are you cancelling?","1779865","Continual Price Increases","Constant price rise / increase"
"Why are you cancelling?","1779864","Continual price increases","Constant price rise / increase"
"Why are you cancelling?","1779863","Continually increasing Price point while delivering little new value.","Constant price rise / increase"
"Why are you cancelling?","1779862","Continuing price increases","Constant price rise / increase"
"Why are you cancelling?","1779861","Continuous price increases","Constant price rise / increase"
"Why are you cancelling?","1779860","cost keeps going up","Constant price rise / increase"
"Why are you cancelling?","1779859","Cost way tooo much","Too expensive"
"Why are you cancelling?","1779858","Cost went up and quality went down.","Constant price rise / increase"
"Why are you cancelling?","1779857","Costs","Too expensive"
"Why are you cancelling?","1779856","Costs keep rising","Constant price rise / increase"
"Why are you cancelling?","1779855","Covid has me broke","Reducing expenses / financial constraints"
"Why are you cancelling?","1779854","Currently reside with family","Consolidating / shifting accounts"
"Why are you cancelling?","1779853","Cutting costs","Reducing expenses / financial constraints"
"Why are you cancelling?","1779852","Cutting out unnecessary expenses","Reducing expenses / financial constraints"
"Why are you cancelling?","1779851","Cutting spending","Reducing expenses / financial constraints"
"Why are you cancelling?","1779850","Death of account holder","Account owner passed away"
"Why are you cancelling?","1779849","Death in Family.","Account owner passed away"
"Why are you cancelling?","1779848","DEATH OF SPOUSE","Account owner passed away"
"Why are you cancelling?","1779847","Divorce","Consolidating / shifting accounts"
"Why are you cancelling?","1779846","divorce - I will be back on my own subscription","Consolidating / shifting accounts"
"Why are you cancelling?","1779772","I got married and my husband and I don't need two memberships","Consolidating / shifting accounts"
"Why are you cancelling?","1779771","I had 2 subscriptions set up.","Consolidating / shifting accounts"
"Why are you cancelling?","1779770","I have amercian subscription but live in Poland","Moving / changing locations"
"Why are you cancelling?","1779769","I have another subscription","Consolidating / shifting accounts"
"Why are you cancelling?","1779768","I have high medical bills.","Reducing expenses / financial constraints"
"Why are you cancelling?","1779767","I have to cut back due to high gas prices","Reducing expenses / financial constraints"
"Why are you cancelling?","1779766","I have too many options now.","null"
"Why are you cancelling?","1779765","I have two subscriptions","Consolidating / shifting accounts"
"Why are you cancelling?","1779764","I left the subscription on as a courtesy for my wife. Going through divorce now.","Consolidating / shifting accounts"
"Why are you cancelling?","1779763","I live in two different addresses and I won't be able to use my subscription on both","Object to family/household restriction"
"Why are you cancelling?","1779762","i might be back. taking a break","Temporary break from platform"
"Why are you cancelling?","1779761","I moved in with my son who is a subscriber","Consolidating / shifting accounts"
"Why are you cancelling?","1779760","I moved to a different country and want to be changed the currency of my current location","Moving / changing locations"
"Why are you cancelling?","1779759","I need to save money and don�t use it as much as other services","Don't use it enough / anymore"
"Why are you cancelling?","1779758","I never use it","Don't use it enough / anymore"
"Why are you cancelling?","1779757","I prefer other platforms","Prefer competition"
"Why are you cancelling?","1779756","I will be back","Temporary break from platform"
"Why are you cancelling?","1779755","I will be back","Temporary break from platform"
"Why are you cancelling?","1779754","I will be back, need to move payment to end of month","Making changes to payment / billing"
"Why are you cancelling?","1779754","I will be back, need to move payment to end of month","Temporary break from platform"
"Why are you cancelling?","1779753","I will be back.","Temporary break from platform"
"Why are you cancelling?","1779752","I will cancel each year for 2 months to offset your rate increasses","Constant price rise / increase"
"Why are you cancelling?","1779751","I won't pay extra for sharing my subscription with MY FAMILY","Object to family/household restriction"
"Why are you cancelling?","1779751","I won't pay extra for sharing my subscription with MY FAMILY","Object to additional charges"
"Why are you cancelling?","1779750","I'd prefer to pay yearly.","null"
"Why are you cancelling?","1779749","I'm broke! :)","Reducing expenses / financial constraints"
"Why are you cancelling?","1779748","I'm broke. I'll be back when I can be","Reducing expenses / financial constraints"
"Why are you cancelling?","1779747","I'm having some financial issues.","Reducing expenses / financial constraints"
"Why are you cancelling?","1779746","I'm just trying to save some money","Reducing expenses / financial constraints"
"Why are you cancelling?","1779745","I'm not paying a higher price.","Too expensive"
"Why are you cancelling?","1779744","i'm tired of the price increases","Constant price rise / increase"
"Why are you cancelling?","1779743","I�ll be back on my next payday","Temporary break from platform"
"Why are you cancelling?","1779742","I�ll be back soon","Temporary break from platform"
"Why are you cancelling?","1779741","I�ll wait for few months to return","Temporary break from platform"
"Why are you cancelling?","1779740","I�m BROKEEEE","Reducing expenses / financial constraints"
"Why are you cancelling?","1779739","I�m cutting back on spending","Reducing expenses / financial constraints"
"Why are you cancelling?","1779738","I�m done","null"
"Why are you cancelling?","1779737","I�m sharing an subscription with my parents and will no longer support you if you charge extra.","Object to sharing restrictions"
"Why are you cancelling?","1779736","ill be back, rotating to something else,","Temporary break from platform"
"Why are you cancelling?","1779735","Im using another subscription","Consolidating / shifting accounts"
"Why are you cancelling?","1779734","Income change","Reducing expenses / financial constraints"
"Why are you cancelling?","1779733","Increase cost of living","Reducing expenses / financial constraints"
"Why are you cancelling?","1779732","Increase from original price","Constant price rise / increase"
"Why are you cancelling?","1779731","Increase in price.","Constant price rise / increase"
"Why are you cancelling?","1779730","Increase price","Constant price rise / increase"
"Why are you cancelling?","1779729","Increase was too much, should be half what is charged","Constant price rise / increase"
"Why are you cancelling?","1779728","Increasing price, not worth it","Constant price rise / increase"
"Why are you cancelling?","1779727","inflation","null"
"Why are you cancelling?","1779726","Inflation","Reducing expenses / financial constraints"
"Why are you cancelling?","1779725","inflation food and gas","Reducing expenses / financial constraints"
"Why are you cancelling?","1779724","Inflation reduces priority","Reducing expenses / financial constraints"
"Why are you cancelling?","1779723","Inflation/ Recession/ rising costs","Reducing expenses / financial constraints"
"Why are you cancelling?","1779722","it didnt let me cancel the first month","Problems with billing"
"Why are you cancelling?","1779721","it just keeps going up and I am on fixed income","Constant price rise / increase"
"Why are you cancelling?","1779720","It's boring","Don't use it enough / anymore"
"Why are you cancelling?","1779719","It's cheaper to pay in euro currency.","null"
"Why are you cancelling?","1779718","It�s not too expensive for me, it�s too expensive for itself","Too expensive"
"Why are you cancelling?","1779717","Job loss","Unemployed"
"Why are you cancelling?","1779716","Just can't afford it right now","Reducing expenses / financial constraints"
"Why are you cancelling?","1779715","Just don't want to spend the money on another subscription","Reducing expenses / financial constraints"
"Why are you cancelling?","1779714","Just eliminating monthly bills","Reducing expenses / financial constraints"
"Why are you cancelling?","1779713","Just looking to cut costs.","Reducing expenses / financial constraints"
"Why are you cancelling?","1779712","Just need money back","Reducing expenses / financial constraints"
"Why are you cancelling?","1779468","Too expensive","Too expensive"
"Why are you cancelling?","1779711","Just need to take care of other things first before a start paying for this again","Temporary break from platform"
"Why are you cancelling?","1779710","Just reducing un-needed expenses ","Reducing expenses / financial constraints"
"Why are you cancelling?","1779709","just taking a break","Temporary break from platform"
"Why are you cancelling?","1779708","Just taking a break and saving a bit of money. We'll be back.","Temporary break from platform"
"Why are you cancelling?","1779707","Keep getting subscription hacked","Account gets hacked"
"Why are you cancelling?","1779706","Keep raising price","Constant price rise / increase"
"Why are you cancelling?","1779705","Keep raising prices","Constant price rise / increase"
"Why are you cancelling?","1779704","Keep raising prices, not worth it","Constant price rise / increase"
"Why are you cancelling?","1779703","Keep raising subscription price","Constant price rise / increase"
"Why are you cancelling?","1779702","keep raising the price","Constant price rise / increase"
"Why are you cancelling?","1779701","Keeps going up","Constant price rise / increase"
"Why are you cancelling?","1779700","laid off, reducing expenses","Unemployed"
"Why are you cancelling?","1779700","laid off, reducing expenses","Reducing expenses / financial constraints"
"Why are you cancelling?","1779699","Limited users","Object to sharing restrictions"
"Why are you cancelling?","1779698","Limiting access with high price","Too expensive"
"Why are you cancelling?","1779697","Limiting household spending","Reducing expenses / financial constraints"
"Why are you cancelling?","1779696","Limiting to single household use.","Object to family/household restriction"
"Why are you cancelling?","1779695","Limiting to the household only.","Object to family/household restriction"
"Why are you cancelling?","1779694","living with daughter, not really using","Don't use it enough / anymore"
"Why are you cancelling?","1779693","Loss of job","Unemployed"
"Why are you cancelling?","1779692","Lost job","Unemployed"
"Why are you cancelling?","1779691","Lost Job","Unemployed"
"Why are you cancelling?","1779690","Lost job can't afford now","Unemployed"
"Why are you cancelling?","1779689","lost job due to vaccine","Unemployed"
"Why are you cancelling?","1779688","Lost my job","Unemployed"
"Why are you cancelling?","1779687","lost my job can't afford it","Unemployed"
"Why are you cancelling?","1779686","Lost y�all damn mind with these prices","Corporate greed / taking advantage of customers"
"Why are you cancelling?","1779685","lower bills","Reducing expenses / financial constraints"
"Why are you cancelling?","1779684","lower your price pls __","Too expensive"
"Why are you cancelling?","1779683","Lowering expenses","Reducing expenses / financial constraints"
"Why are you cancelling?","1779682","Making budget cut","Reducing expenses / financial constraints"
"Why are you cancelling?","1779681","Married. Combining households","Consolidating / shifting accounts"
"Why are you cancelling?","1779680","Married. Using spouses subscription","Consolidating / shifting accounts"
"Why are you cancelling?","1779679","Me and my mom live in two different places, since you want to restrict that I will cancel my membership.","Object to family/household restriction"
"Why are you cancelling?","1779678","Member passed away","Account owner passed away"
"Why are you cancelling?","1779677","membership fee going up","Constant price rise / increase"
"Why are you cancelling?","1779676","Merge households two subscriptions","Consolidating / shifting accounts"
"Why are you cancelling?","1779675","merging households","Consolidating / shifting accounts"
"Why are you cancelling?","1779674","Monetary break. Will come back.","Temporary break from platform"
"Why are you cancelling?","1779673","Money is tight, ill try and come back in a few months once I have the budget for this","Reducing expenses / financial constraints"
"Why are you cancelling?","1779672","Money is a problem, I need to be saving more and can't deal with continuous price increases","Reducing expenses / financial constraints"
"Why are you cancelling?","1779672","Money is a problem, I need to be saving more and can't deal with continuous price increases","Constant price rise / increase"
"Why are you cancelling?","1779671","money I don't have","Reducing expenses / financial constraints"
"Why are you cancelling?","1779670","Money is tight right now","Reducing expenses / financial constraints"
"Why are you cancelling?","1779669","Moved","Moving / changing locations"
"Why are you cancelling?","1779668","Moved in with family","Moving / changing locations"
"Why are you cancelling?","1779667","Moved in with my boyfriend so we only need one","Consolidating / shifting accounts"
"Why are you cancelling?","1779666","Moved in with significant other don�t need two subscriptions in one house","Consolidating / shifting accounts"
"Why are you cancelling?","1779665","Moved in with someone","Moving / changing locations"
"Why are you cancelling?","1779664","Moved in with someone who has it already","Consolidating / shifting accounts"
"Why are you cancelling?","1779663","moving","Moving / changing locations"
"Why are you cancelling?","1779662","Moving","Moving / changing locations"
"Why are you cancelling?","1779661","Moving","Moving / changing locations"
"Why are you cancelling?","1779660","moving","Moving / changing locations"
"Why are you cancelling?","1779659","Moving away","Moving / changing locations"
"Why are you cancelling?","1779658","Moving country","Moving / changing locations"
"Why are you cancelling?","1779657","Moving on for now. Thank you.","Moving / changing locations"
"Why are you cancelling?","1779656","Moving out of the country","Moving / changing locations"
"Why are you cancelling?","1779655","Moving to another country.","Moving / changing locations"
"Why are you cancelling?","1779654","multiple subscriptions","Consolidating / shifting accounts"
"Why are you cancelling?","1779653","Multiple subscriptions","Consolidating / shifting accounts"
"Why are you cancelling?","1779652","Multiple subscriptions","Consolidating / shifting accounts"
"Why are you cancelling?","1779651","Multiple subscriptions in our house","Consolidating / shifting accounts"
"Why are you cancelling?","1779650","Multiple subscriptions. Unneeded.","Consolidating / shifting accounts"
"Why are you cancelling?","1779649","my subscription was being used by a stranger","Account gets hacked"
"Why are you cancelling?","1779648","My subscription was hacked","Account gets hacked"
"Why are you cancelling?","1779647","my subscription was hacked","Account gets hacked"
"Why are you cancelling?","1779646","My Aunt passed away","Account owner passed away"
"Why are you cancelling?","1779645","My boyfriend wants me to cancel","null"
"Why are you cancelling?","1779644","My daughter has a subscription at the same residence","Consolidating / shifting accounts"
"Why are you cancelling?","1779643","my husband already has subscription","Consolidating / shifting accounts"
"Why are you cancelling?","1779642","My husband has a subscription","Consolidating / shifting accounts"
"Why are you cancelling?","1779641","My husband has an subscription","Consolidating / shifting accounts"
"Why are you cancelling?","1779467","Too expensive and too many new added charges","Object to additional charges"
"Why are you cancelling?","1779467","Too expensive and too many new added charges","Too expensive"
"Why are you cancelling?","1779640","My kids live in another city and you're going to charge more for that. Unfair and intolerable.","Object to family/household restriction"
"Why are you cancelling?","1779639","My spouse has an subscription","Consolidating / shifting accounts"
"Why are you cancelling?","1779638","My stepdad has an subscription so don�t need one anymore","Consolidating / shifting accounts"
"Why are you cancelling?","1779637","Need to change due date","Making changes to payment / billing"
"Why are you cancelling?","1779636","Need to cut expenses","Reducing expenses / financial constraints"
"Why are you cancelling?","1779635","need to cut expenses","Reducing expenses / financial constraints"
"Why are you cancelling?","1779634","Need to cut expenses....rent just increased almost $40 per month","Reducing expenses / financial constraints"
"Why are you cancelling?","1779633","need to discontinue for several weeks","Temporary break from platform"
"Why are you cancelling?","1779632","need to redo membership","null"
"Why are you cancelling?","1779631","Need to save some money.","Reducing expenses / financial constraints"
"Why are you cancelling?","1779630","need to save the money","Reducing expenses / financial constraints"
"Why are you cancelling?","1779629","Need to simplify","null"
"Why are you cancelling?","1779628","Never use it & too expensive","Don't use it enough / anymore"
"Why are you cancelling?","1779628","Never use it & too expensive","Too expensive"
"Why are you cancelling?","1779627","No longer enough value to justify the cost.","Too expensive"
"Why are you cancelling?","1779626","No longer good value for the money","Too expensive"
"Why are you cancelling?","1779625","no longer worth it","Too expensive"
"Why are you cancelling?","1779624","No more family sharing =[","Object to family/household restriction"
"Why are you cancelling?","1779623","No need for it","Don't use it enough / anymore"
"Why are you cancelling?","1779622","No respect for legacy members. It�s been a good run.","Corporate greed / taking advantage of customers"
"Why are you cancelling?","1779621","No sharing subscriptions to expensive","Object to sharing restrictions"
"Why are you cancelling?","1779620","no way of paying for it anymore","Reducing expenses / financial constraints"
"Why are you cancelling?","1779619","not happy with price increase, this is now out of my spending and budget","Constant price rise / increase"
"Why are you cancelling?","1779618","not in my budget anymore","Reducing expenses / financial constraints"
"Why are you cancelling?","1779617","Not interested at this time","Don't use it enough / anymore"
"Why are you cancelling?","1779616","Not letting us share anymore and u keep raising the price","Object to sharing restrictions"
"Why are you cancelling?","1779616","Not letting us share anymore and u keep raising the price","Constant price rise / increase"
"Why are you cancelling?","1779615","NOT NEEDED, you guys don�t want to put forth good services so why do I need you","Don't use it enough / anymore"
"Why are you cancelling?","1779614","Not needed","Don't use it enough / anymore"
"Why are you cancelling?","1779613","Not paying for extra subscriptions.","Object to additional charges"
"Why are you cancelling?","1779612","not paying more money","Constant price rise / increase"
"Why are you cancelling?","1779611","Not pleased with new policies","New policy generally"
"Why are you cancelling?","1779610","Not used enough currently to be worth the price increase for me","Don't use it enough / anymore"
"Why are you cancelling?","1779610","Not used enough currently to be worth the price increase for me","Constant price rise / increase"
"Why are you cancelling?","1779609","Not using","Don't use it enough / anymore"
"Why are you cancelling?","1779608","Not using it at this time.","Don't use it enough / anymore"
"Why are you cancelling?","1779607","Not using now","Don't use it enough / anymore"
"Why are you cancelling?","1779606","Not worth the price increase","Constant price rise / increase"
"Why are you cancelling?","1779605","Not worth the price increase.","Constant price rise / increase"
"Why are you cancelling?","1779604","Notified today that my subscription was hacked.","Account gets hacked"
"Why are you cancelling?","1779603","obscene pricing!","Too expensive"
"Why are you cancelling?","1779602","Offered with my phone subscription","Consolidating / shifting accounts"
"Why are you cancelling?","1779601","Opened a new subscription","Consolidating / shifting accounts"
"Why are you cancelling?","1779600","Opened this as a duplicate subscription by mistake","Consolidating / shifting accounts"
"Why are you cancelling?","1779599","Opening a different subscription","null"
"Why are you cancelling?","1779598","Opening different subscriptions","null"
"Why are you cancelling?","1779597","Other bills","Reducing expenses / financial constraints"
"Why are you cancelling?","1779596","out of town for 4 months","Temporary break from platform"
"Why are you cancelling?","1779595","Out of work at the moment","Unemployed"
"Why are you cancelling?","1779594","Owner of this subscription has passed away","Account owner passed away"
"Why are you cancelling?","1779593","Pagos adicional por el servicio","null"
"Why are you cancelling?","1779592","My mom passed away and she had the account","Account owner passed away"
"Why are you cancelling?","1779591","Parent owning account passed away","Account owner passed away"
"Why are you cancelling?","1779590","Pending extra charges","Object to additional charges"
"Why are you cancelling?","1779589","Person passed away","Account owner passed away"
"Why are you cancelling?","1779588","Person paying passed away.","Account owner passed away"
"Why are you cancelling?","1779587","personal income problems","Reducing expenses / financial constraints"
"Why are you cancelling?","1779586","Please stop raising prices every year!","Constant price rise / increase"
"Why are you cancelling?","1779585","policy changes","New policy generally"
"Why are you cancelling?","1779584","preemptively canceling before the next rate hike","Constant price rise / increase"
"Why are you cancelling?","1779583","Prescription fees too high","Too expensive"
"Why are you cancelling?","1779582","price change and don't use anymore","Don't use it enough / anymore"
"Why are you cancelling?","1779582","price change and don't use anymore","Constant price rise / increase"
"Why are you cancelling?","1779543","Recent price increase and talk of limited subscription sharing, bye bye","Object to sharing restrictions"
"Why are you cancelling?","1779543","Recent price increase and talk of limited subscription sharing, bye bye","Constant price rise / increase"
"Why are you cancelling?","1779542","recently married and don't need two memberships","Consolidating / shifting accounts"
"Why are you cancelling?","1779541","Remarried only need one subscription","Consolidating / shifting accounts"
"Why are you cancelling?","1779540","Repurposing my time. I will be back!","Temporary break from platform"
"Why are you cancelling?","1779539","Restarting again soon","Temporary break from platform"
"Why are you cancelling?","1779538","Retiring and must cut expenses","Reducing expenses / financial constraints"
"Why are you cancelling?","1779537","Ridiculous price raises throughout history","Constant price rise / increase"
"Why are you cancelling?","1779536","Roommate has subscription","Consolidating / shifting accounts"
"Why are you cancelling?","1779535","Save Money","Reducing expenses / financial constraints"
"Why are you cancelling?","1779534","saving $ and sharing with dad","Object to sharing restrictions"
"Why are you cancelling?","1779534","saving $ and sharing with dad","Reducing expenses / financial constraints"
"Why are you cancelling?","1779532","Selection continually goes in one direction, price goes in the other. The scales finally tipped.","Too expensive"
"Why are you cancelling?","1779531","Service is now overpriced.","Too expensive"
"Why are you cancelling?","1779530","Sharing with Spouse","Consolidating / shifting accounts"
"Why are you cancelling?","1779529","Sharon Passed Away","Account owner passed away"
"Why are you cancelling?","1779528","Sick of price increases","Constant price rise / increase"
"Why are you cancelling?","1779527","Someone hacked my subscription","Account gets hacked"
"Why are you cancelling?","1779526","someone hacked my acct","Account gets hacked"
"Why are you cancelling?","1779525","Someone keeps hacking my subscription","Account gets hacked"
"Why are you cancelling?","1779524","Stop raising prices & put some money into customer success","Constant price rise / increase"
"Why are you cancelling?","1779523","Stop raising the prices. Twice in 6 months is ridiculous.","Constant price rise / increase"
"Why are you cancelling?","1779522","Stop raising these damn prices!","Constant price rise / increase"
"Why are you cancelling?","1779521","STOP RAISING YOUR PRICES","Constant price rise / increase"
"Why are you cancelling?","1779520","Stop raising your prices!","Constant price rise / increase"
"Why are you cancelling?","1779519","subscriber passed away","Account owner passed away"
"Why are you cancelling?","1779518","summer break","Temporary break from platform"
"Why are you cancelling?","1779517","Summer coming","null"
"Why are you cancelling?","1779516","Summer is coming. Time to play outside","Temporary break from platform"
"Why are you cancelling?","1779515","Switching my payment date","Making changes to payment / billing"
"Why are you cancelling?","1779514","Taking a break","Temporary break from platform"
"Why are you cancelling?","1779513","taking a break for summer","Temporary break from platform"
"Why are you cancelling?","1779512","taking a break layoff","Temporary break from platform"
"Why are you cancelling?","1779511","taking a break, will be back","Temporary break from platform"
"Why are you cancelling?","1779510","Taking a break.","Temporary break from platform"
"Why are you cancelling?","1779509","Taking a break.","Temporary break from platform"
"Why are you cancelling?","1779508","Temp money issues","Temporary break from platform"
"Why are you cancelling?","1779508","Temp money issues","Reducing expenses / financial constraints"
"Why are you cancelling?","1779507","Temporarily cancelling; will rejoin later!","Temporary break from platform"
